                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.442,                 1.7681,                 1.6903,                0.79235,                0.59375,                  0.686,                0.43634,                 1.3847,                 1.6462,                 1.8913,             0.00065714,             0.00065714,             0.00065714
                      2,                 1.3569,                 1.4951,                 1.5935,                0.71628,                 0.6875,                0.72733,                0.49764,                 1.4395,                 1.2862,                 1.9676,              0.0011782,              0.0011782,              0.0011782
                      3,                 1.2739,                 1.3627,                 1.5404,                0.70593,                0.65625,                0.63326,                0.39083,                 1.4155,                 1.5004,                 2.0959,              0.0015526,              0.0015526,              0.0015526
                      4,                 1.2353,                 1.2574,                 1.5088,                0.83477,                0.63172,                0.71772,                 0.3919,                 1.6125,                 1.6959,                 2.0601,                0.00134,                0.00134,                0.00134
                      5,                 1.1694,                 1.2295,                 1.4578,                 0.6958,                0.71875,                0.73463,                0.44303,                  1.275,                 1.4727,                  1.783,                0.00112,                0.00112,                0.00112
                      6,                 1.0814,                 1.1342,                 1.4144,                0.88322,                0.70929,                0.82454,                0.59926,                 1.0506,                 1.1022,                 1.5505,                 0.0009,                 0.0009,                 0.0009
                      7,                 1.0158,                 1.0447,                 1.3605,                 0.9161,                 0.6875,                0.78777,                0.57216,                 1.1825,                0.96547,                 1.7109,                0.00068,                0.00068,                0.00068
                      8,                0.98501,                 1.0156,                 1.3391,                0.91847,                0.70437,                0.80191,                0.60389,                 1.0179,                 1.0441,                 1.5817,                0.00046,                0.00046,                0.00046
                      9,                0.90523,                0.91827,                   1.29,                0.96584,                   0.75,                0.85557,                0.62788,                 0.9006,                0.91595,                 1.4665,                0.00024,                0.00024,                0.00024
