                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.60279,                 1.0457,                0.55055,                 1.0644,                0.91255,                0.83673,                0.89644,                 0.7363,                0.92093,                0.83061,                0.90262,                0.72935,                 0.6634,                 1.1243,                0.61132,                  1.179,              0.0010892,              0.0010892,              0.0010892
                     25,                0.59837,                 1.0386,                0.56661,                 1.0701,                0.90793,                 0.8449,                0.89848,                0.75346,                0.91232,                0.84898,                 0.9095,                0.73356,                 0.6267,                  1.134,                0.58423,                  1.166,              0.0010496,              0.0010496,              0.0010496
                     26,                0.59063,                 1.0232,                0.53977,                  1.057,                0.89264,                0.86122,                0.91309,                0.75691,                0.96276,                    0.8,                0.90167,                0.72977,                0.62349,                 1.2126,                0.56226,                 1.1659,                0.00101,                0.00101,                0.00101
                     27,                0.57533,                 1.0065,                0.50153,                 1.0441,                0.95168,                0.84404,                0.91811,                0.77527,                0.93301,                0.84286,                0.90087,                 0.7293,                0.59474,                 1.1316,                0.53029,                 1.1354,              0.0009704,              0.0009704,              0.0009704
                     28,                0.56711,                  1.024,                0.50754,                 1.0338,                0.95162,                0.84305,                0.91791,                  0.775,                0.95162,                0.84305,                0.92014,                0.73677,                0.61607,                 1.1013,                0.52852,                 1.1497,              0.0009308,              0.0009308,              0.0009308
                     29,                0.58657,                 1.0071,                0.51516,                 1.0588,                0.92397,                0.84319,                0.91373,                 0.7453,                0.95246,                0.82245,                 0.9132,                0.73112,                0.65551,                 1.0923,                0.57522,                 1.1801,              0.0008912,              0.0008912,              0.0008912
                     30,                0.55185,                 0.9857,                0.50422,                  1.035,                0.94177,                 0.8581,                0.91869,                0.78202,                0.92639,                 0.8733,                0.91571,                0.74467,                 0.5915,                 1.0989,                0.52435,                 1.1448,              0.0008516,              0.0008516,              0.0008516
                     31,                0.54307,                0.95958,                0.49707,                 1.0246,                0.96728,                0.84454,                0.91999,                0.78543,                0.96115,                0.85827,                0.92228,                 0.7541,                0.57412,                 1.0758,                0.52884,                 1.1115,               0.000812,               0.000812,               0.000812
                     32,                0.57788,                 0.9745,                0.49793,                  1.043,                0.95392,                0.84492,                0.92168,                0.78933,                0.95821,                0.84236,                0.92264,                0.74922,                0.59149,                 1.0835,                0.51563,                 1.1254,              0.0007724,              0.0007724,              0.0007724
                     33,                0.56216,                0.95302,                0.49085,                  1.043,                0.97127,                0.83469,                0.91834,                 0.7778,                0.95197,                0.84082,                0.91562,                0.74914,                0.59403,                 1.0873,                0.51762,                 1.1342,              0.0007328,              0.0007328,              0.0007328
                     34,                0.53493,                0.94057,                0.46665,                 1.0169,                0.93578,                0.87143,                0.93099,                 0.7904,                0.92701,                0.86327,                0.91758,                0.74889,                0.58226,                 1.0935,                0.49763,                 1.1171,              0.0006932,              0.0006932,              0.0006932
                     35,                0.54257,                0.98419,                0.47949,                 1.0228,                0.94444,                0.86731,                 0.9254,                0.79016,                0.94666,                0.86935,                0.92465,                0.75249,                0.57056,                 1.0697,                 0.4962,                 1.1219,              0.0006536,              0.0006536,              0.0006536
                     36,                0.52788,                 0.9466,                0.46789,                 1.0321,                0.93779,                0.87347,                0.92722,                0.79742,                0.92131,                0.88367,                0.92548,                0.76278,                0.56689,                 1.0213,                 0.4925,                 1.1125,               0.000614,               0.000614,               0.000614
