epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3812.28,0.59512,1.07356,0.56133,1.11974,0.91284,0.85609,0.91852,0.77069,0.92283,0.86047,0.92351,0.72135,0.57993,1.14158,0.57186,1.23034,0.0008516,0.0008516,0.0008516
31,3936.67,0.58056,1.03206,0.54933,1.12029,0.91989,0.83407,0.91508,0.75997,0.93998,0.85096,0.92904,0.74253,0.59905,1.06682,0.56694,1.27186,0.000812,0.000812,0.000812
32,4060.3,0.55683,1.06291,0.52577,1.09783,0.92518,0.84288,0.92504,0.77494,0.93402,0.85463,0.93665,0.74392,0.57699,1.0581,0.53383,1.22558,0.0007724,0.0007724,0.0007724
33,4186.73,0.57686,1.03619,0.53722,1.11494,0.94339,0.83205,0.92488,0.77475,0.95021,0.84071,0.93065,0.74947,0.58426,1.06298,0.53939,1.23324,0.0007328,0.0007328,0.0007328
34,4314.55,0.55367,0.98337,0.52207,1.09907,0.91994,0.84366,0.9224,0.76869,0.92086,0.86197,0.93196,0.74509,0.58464,1.05991,0.55557,1.24355,0.0006932,0.0006932,0.0006932
35,4437.96,0.55304,0.97541,0.50963,1.10656,0.92111,0.84288,0.91558,0.78216,0.95899,0.82405,0.92468,0.74069,0.5543,1.09068,0.55044,1.20796,0.0006536,0.0006536,0.0006536
36,4561.85,0.55857,1.02234,0.52108,1.09786,0.93313,0.84009,0.92941,0.79635,0.96008,0.84435,0.93673,0.75422,0.54683,1.04194,0.51228,1.20934,0.000614,0.000614,0.000614
37,4688.08,0.5418,0.97665,0.49634,1.09055,0.89434,0.88248,0.93458,0.78829,0.94634,0.85464,0.94035,0.75008,0.57081,1.06032,0.51672,1.22841,0.0005744,0.0005744,0.0005744
38,4810.87,0.5187,0.93548,0.47777,1.08343,0.94413,0.84581,0.93398,0.80006,0.95886,0.85609,0.93971,0.76567,0.55573,1.00786,0.4963,1.19983,0.0005348,0.0005348,0.0005348
39,4935.25,0.51963,0.95221,0.46526,1.08535,0.92982,0.85609,0.93235,0.79406,0.93301,0.85903,0.93294,0.76152,0.53711,0.9988,0.49078,1.19289,0.0004952,0.0004952,0.0004952
